"","NAME","Median_Income","Income_Designation"
"2","ZCTA5 89010",32847,"C"
"3","ZCTA5 89019",56765,"E"
"4","ZCTA5 89060",45833,"D"
"5","ZCTA5 89061",56865,"E"
"6","ZCTA5 89439",60547,"E"
"7","ZCTA5 90001",48011,"D"
"8","ZCTA5 90002",42245,"D"
"9","ZCTA5 90003",42220,"D"
"10","ZCTA5 90004",52775,"E"
"11","ZCTA5 90005",42398,"D"
"12","ZCTA5 90006",37375,"D"
"13","ZCTA5 90007",30530,"C"
"14","ZCTA5 90008",47230,"D"
"15","ZCTA5 90010",70500,"E"
"16","ZCTA5 90011",44616,"D"
"17","ZCTA5 90012",49905,"D"
"18","ZCTA5 90013",21175,"B"
"19","ZCTA5 90014",36429,"D"
"20","ZCTA5 90015",48743,"D"
"21","ZCTA5 90016",49958,"D"
"22","ZCTA5 90017",36870,"D"
"23","ZCTA5 90018",49644,"D"
"24","ZCTA5 90019",58313,"E"
"25","ZCTA5 90020",50207,"E"
"26","ZCTA5 90021",21625,"B"
"27","ZCTA5 90022",51183,"E"
"28","ZCTA5 90023",45991,"D"
"29","ZCTA5 90024",63344,"E"
"30","ZCTA5 90025",97791,"F"
"31","ZCTA5 90026",67435,"E"
"32","ZCTA5 90027",71651,"E"
"33","ZCTA5 90028",50253,"E"
"34","ZCTA5 90029",45004,"D"
"35","ZCTA5 90031",51076,"E"
"36","ZCTA5 90032",59723,"E"
"37","ZCTA5 90033",43646,"D"
"38","ZCTA5 90034",80773,"F"
"39","ZCTA5 90035",99367,"F"
"40","ZCTA5 90036",84315,"F"
"41","ZCTA5 90037",37945,"D"
"42","ZCTA5 90038",48786,"D"
"43","ZCTA5 90039",88104,"F"
"44","ZCTA5 90040",54567,"E"
"45","ZCTA5 90041",90461,"F"
"46","ZCTA5 90042",73152,"E"
"47","ZCTA5 90043",56285,"E"
"48","ZCTA5 90044",39434,"D"
"49","ZCTA5 90045",110535,"G"
"50","ZCTA5 90046",72457,"E"
"51","ZCTA5 90047",58830,"E"
"52","ZCTA5 90048",93583,"F"
"53","ZCTA5 90049",133032,"G"
"54","ZCTA5 90056",84387,"F"
"55","ZCTA5 90057",41748,"D"
"56","ZCTA5 90058",27708,"C"
"57","ZCTA5 90059",44839,"D"
"58","ZCTA5 90061",47468,"D"
"59","ZCTA5 90062",52661,"E"
"60","ZCTA5 90063",50913,"E"
"61","ZCTA5 90064",103045,"G"
"62","ZCTA5 90065",76080,"F"
"63","ZCTA5 90066",87589,"F"
"64","ZCTA5 90067",111299,"G"
"65","ZCTA5 90068",87327,"F"
"66","ZCTA5 90069",90546,"F"
"67","ZCTA5 90071",61895,"E"
"68","ZCTA5 90073",NA,NA
"69","ZCTA5 90077",222982,"I"
"70","ZCTA5 90079",NA,NA
"71","ZCTA5 90089",NA,NA
"72","ZCTA5 90090",NA,NA
"73","ZCTA5 90094",170634,"H"
"74","ZCTA5 90095",NA,NA
"75","ZCTA5 90201",46109,"D"
"76","ZCTA5 90210",152037,"H"
"77","ZCTA5 90211",96111,"F"
"78","ZCTA5 90212",86496,"F"
"79","ZCTA5 90220",61279,"E"
"80","ZCTA5 90221",53683,"E"
"81","ZCTA5 90222",57101,"E"
"82","ZCTA5 90230",87469,"F"
"83","ZCTA5 90232",98116,"F"
"84","ZCTA5 90240",87107,"F"
"85","ZCTA5 90241",72274,"E"
"86","ZCTA5 90242",73037,"E"
"87","ZCTA5 90245",115846,"G"
"88","ZCTA5 90247",61234,"E"
"89","ZCTA5 90248",63620,"E"
"90","ZCTA5 90249",65397,"E"
"91","ZCTA5 90250",60162,"E"
"92","ZCTA5 90254",142500,"G"
"93","ZCTA5 90255",49366,"D"
"94","ZCTA5 90260",70389,"E"
"95","ZCTA5 90262",57236,"E"
"96","ZCTA5 90263",NA,NA
"97","ZCTA5 90265",163909,"H"
"98","ZCTA5 90266",153926,"H"
"99","ZCTA5 90270",50996,"E"
"100","ZCTA5 90272",199598,"H"
"101","ZCTA5 90274",181776,"H"
"102","ZCTA5 90275",145816,"G"
"103","ZCTA5 90277",104859,"G"
"104","ZCTA5 90278",126979,"G"
"105","ZCTA5 90280",55084,"E"
"106","ZCTA5 90290",129000,"G"
"107","ZCTA5 90291",99496,"F"
"108","ZCTA5 90292",121021,"G"
"109","ZCTA5 90293",104814,"G"
"110","ZCTA5 90301",51498,"E"
"111","ZCTA5 90302",54432,"E"
"112","ZCTA5 90303",62826,"E"
"113","ZCTA5 90304",47612,"D"
"114","ZCTA5 90305",88910,"F"
"115","ZCTA5 90401",95217,"F"
"116","ZCTA5 90402",145742,"G"
"117","ZCTA5 90403",111611,"G"
"118","ZCTA5 90404",75610,"F"
"119","ZCTA5 90405",96352,"F"
"120","ZCTA5 90501",75388,"F"
"121","ZCTA5 90502",85515,"F"
"122","ZCTA5 90503",97688,"F"
"123","ZCTA5 90504",92636,"F"
"124","ZCTA5 90505",95113,"F"
"125","ZCTA5 90506",NA,NA
"126","ZCTA5 90601",76177,"F"
"127","ZCTA5 90602",54752,"E"
"128","ZCTA5 90603",104028,"G"
"129","ZCTA5 90604",77898,"F"
"130","ZCTA5 90605",77482,"F"
"131","ZCTA5 90606",74717,"E"
"132","ZCTA5 90620",99351,"F"
"133","ZCTA5 90621",72000,"E"
"134","ZCTA5 90623",107956,"G"
"135","ZCTA5 90630",102263,"G"
"136","ZCTA5 90631",86973,"F"
"137","ZCTA5 90638",92508,"F"
"138","ZCTA5 90640",62521,"E"
"139","ZCTA5 90650",77425,"F"
"140","ZCTA5 90660",70620,"E"
"141","ZCTA5 90670",71318,"E"
"142","ZCTA5 90680",69212,"E"
"143","ZCTA5 90701",74523,"E"
"144","ZCTA5 90703",108844,"G"
"145","ZCTA5 90704",77868,"F"
"146","ZCTA5 90706",63848,"E"
"147","ZCTA5 90710",65119,"E"
"148","ZCTA5 90712",102687,"G"
"149","ZCTA5 90713",108311,"G"
"150","ZCTA5 90715",74471,"E"
"151","ZCTA5 90716",61525,"E"
"152","ZCTA5 90717",75286,"F"
"153","ZCTA5 90720",109847,"G"
"154","ZCTA5 90723",57313,"E"
"155","ZCTA5 90731",56881,"E"
"156","ZCTA5 90732",101738,"G"
"157","ZCTA5 90740",72226,"E"
"158","ZCTA5 90742",81528,"F"
"159","ZCTA5 90743",142000,"G"
"160","ZCTA5 90744",50965,"E"
"161","ZCTA5 90745",86981,"F"
"162","ZCTA5 90746",87713,"F"
"163","ZCTA5 90747",NA,NA
"164","ZCTA5 90755",86140,"F"
"165","ZCTA5 90802",60939,"E"
"166","ZCTA5 90803",92230,"F"
"167","ZCTA5 90804",52122,"E"
"168","ZCTA5 90805",53299,"E"
"169","ZCTA5 90806",57037,"E"
"170","ZCTA5 90807",77966,"F"
"171","ZCTA5 90808",111163,"G"
"172","ZCTA5 90810",60486,"E"
"173","ZCTA5 90813",41175,"D"
"174","ZCTA5 90814",81925,"F"
"175","ZCTA5 90815",100034,"G"
"176","ZCTA5 90822",NA,NA
"177","ZCTA5 90831",NA,NA
"178","ZCTA5 91001",104577,"G"
"179","ZCTA5 91006",105011,"G"
"180","ZCTA5 91007",84833,"F"
"181","ZCTA5 91008",108846,"G"
"182","ZCTA5 91010",83051,"F"
"183","ZCTA5 91011",170571,"H"
"184","ZCTA5 91016",82801,"F"
"185","ZCTA5 91020",65506,"E"
"186","ZCTA5 91024",106719,"G"
"187","ZCTA5 91030",109927,"G"
"188","ZCTA5 91040",92280,"F"
"189","ZCTA5 91042",66453,"E"
"190","ZCTA5 91046",NA,NA
"191","ZCTA5 91101",72144,"E"
"192","ZCTA5 91103",71600,"E"
"193","ZCTA5 91104",78285,"F"
"194","ZCTA5 91105",137637,"G"
"195","ZCTA5 91106",84782,"F"
"196","ZCTA5 91107",100866,"G"
"197","ZCTA5 91108",163654,"H"
"198","ZCTA5 91201",59073,"E"
"199","ZCTA5 91202",81665,"F"
"200","ZCTA5 91203",61384,"E"
"201","ZCTA5 91204",55847,"E"
"202","ZCTA5 91205",47160,"D"
"203","ZCTA5 91206",74893,"E"
"204","ZCTA5 91207",85107,"F"
"205","ZCTA5 91208",104866,"G"
"206","ZCTA5 91210",138333,"G"
"207","ZCTA5 91214",108583,"G"
"208","ZCTA5 91301",130315,"G"
"209","ZCTA5 91302",149724,"G"
"210","ZCTA5 91303",62848,"E"
"211","ZCTA5 91304",71039,"E"
"212","ZCTA5 91306",73894,"E"
"213","ZCTA5 91307",119452,"G"
"214","ZCTA5 91311",96432,"F"
"215","ZCTA5 91316",76088,"F"
"216","ZCTA5 91320",125093,"G"
"217","ZCTA5 91321",74986,"E"
"218","ZCTA5 91324",83894,"F"
"219","ZCTA5 91325",72041,"E"
"220","ZCTA5 91326",120563,"G"
"221","ZCTA5 91330",NA,NA
"222","ZCTA5 91331",64375,"E"
"223","ZCTA5 91335",65740,"E"
"224","ZCTA5 91340",64479,"E"
"225","ZCTA5 91342",79572,"F"
"226","ZCTA5 91343",67043,"E"
"227","ZCTA5 91344",103329,"G"
"228","ZCTA5 91345",80759,"F"
"229","ZCTA5 91350",113028,"G"
"230","ZCTA5 91351",85755,"F"
"231","ZCTA5 91352",58696,"E"
"232","ZCTA5 91354",130557,"G"
"233","ZCTA5 91355",95640,"F"
"234","ZCTA5 91356",80872,"F"
"235","ZCTA5 91360",94149,"F"
"236","ZCTA5 91361",119659,"G"
"237","ZCTA5 91362",119967,"G"
"238","ZCTA5 91364",110525,"G"
"239","ZCTA5 91367",95212,"F"
"240","ZCTA5 91371",NA,NA
"241","ZCTA5 91377",137047,"G"
"242","ZCTA5 91381",134115,"G"
"243","ZCTA5 91384",111990,"G"
"244","ZCTA5 91387",94545,"F"
"245","ZCTA5 91390",121902,"G"
"246","ZCTA5 91401",57493,"E"
"247","ZCTA5 91402",48933,"D"
"248","ZCTA5 91403",101021,"G"
"249","ZCTA5 91405",49232,"D"
"250","ZCTA5 91406",61880,"E"
"251","ZCTA5 91411",61914,"E"
"252","ZCTA5 91423",90783,"F"
"253","ZCTA5 91436",153304,"H"
"254","ZCTA5 91501",73622,"E"
"255","ZCTA5 91502",53580,"E"
"256","ZCTA5 91504",86295,"F"
"257","ZCTA5 91505",89021,"F"
"258","ZCTA5 91506",85086,"F"
"259","ZCTA5 91601",57411,"E"
"260","ZCTA5 91602",81795,"F"
"261","ZCTA5 91604",119586,"G"
"262","ZCTA5 91605",53335,"E"
"263","ZCTA5 91606",54649,"E"
"264","ZCTA5 91607",76092,"F"
"265","ZCTA5 91608",NA,NA
"266","ZCTA5 91701",100653,"G"
"267","ZCTA5 91702",68058,"E"
"268","ZCTA5 91706",68773,"E"
"269","ZCTA5 91708",57198,"E"
"270","ZCTA5 91709",104661,"G"
"271","ZCTA5 91710",86702,"F"
"272","ZCTA5 91711",100598,"G"
"273","ZCTA5 91722",82441,"F"
"274","ZCTA5 91723",70428,"E"
"275","ZCTA5 91724",84679,"F"
