"","NAME","DP1_0078C","DP1_0079C","DP1_0080C","DP1_0081C","DP1_0082C","DP1_0083C"
"1","Geographic Area Name","Count!!RACE!!Total population!!One Race!!White","Count!!RACE!!Total population!!One Race!!Black or African American","Count!!RACE!!Total population!!One Race!!American Indian and Alaska Native","Count!!RACE!!Total population!!One Race!!Asian","Count!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander","Count!!RACE!!Total population!!One Race!!Some Other Race"
"2","California","16296122","2237044","631016","6085947","157263","8370596"
"3","ZCTA5 89010","208","2","16","4","0","62"
"4","ZCTA5 89019","1657","180","16","116","14","224"
"5","ZCTA5 89060","8838","430","171","166","49","828"
"6","ZCTA5 89061","6039","274","89","236","30","411"
"7","ZCTA5 89439","1803","8","18","59","0","49"
"8","ZCTA5 90001","6109","4802","1418","251","33","34608"
"9","ZCTA5 90002","4752","10612","1170","245","45","28959"
"10","ZCTA5 90003","6107","14459","1785","358","98","40187"
"11","ZCTA5 90004","14960","2373","1249","14986","47","18389"
"12","ZCTA5 90005","6060","2234","868","13360","38","11677"
"13","ZCTA5 90006","6677","2438","1955","11650","50","28404"
"14","ZCTA5 90007","8815","4346","844","8074","74","14264"
"15","ZCTA5 90008","2788","20225","385","1064","43","5356"
"16","ZCTA5 90010","970","306","38","3327","9","309"
"17","ZCTA5 90011","10314","8039","3749","877","55","64806"
"18","ZCTA5 90012","7533","4248","301","12710","57","6294"
"19","ZCTA5 90013","5375","3720","239","2387","54","1966"
"20","ZCTA5 90014","3614","1580","102","1755","22","1083"
"21","ZCTA5 90015","7123","2864","605","5156","43","8060"
"22","ZCTA5 90016","7081","13490","1159","2249","48","16275"
"23","ZCTA5 90017","5548","2336","1062","4949","22","10010"
"24","ZCTA5 90018","5866","12154","1039","2831","54","21556"
"25","ZCTA5 90019","13589","10293","1338","10584","47","18843"
"26","ZCTA5 90020","6223","2176","562","17637","19","8755"
"27","ZCTA5 90021","1672","1415","132","265","26","1173"
"28","ZCTA5 90022","11253","420","2150","802","29","36402"
"29","ZCTA5 90023","7013","546","1470","502","30","28059"
"30","ZCTA5 90024","28606","1964","243","15155","86","3258"
"31","ZCTA5 90025","26174","1367","309","9164","72","3375"
"32","ZCTA5 90026","22291","2530","1347","9627","80","18415"
"33","ZCTA5 90027","27856","1446","310","5287","60","4416"
"34","ZCTA5 90028","16319","3067","371","3159","71","5185"
"35","ZCTA5 90029","10860","1281","656","5283","52","12216"
"36","ZCTA5 90031","6723","784","843","8196","39","14372"
"37","ZCTA5 90032","8269","1211","1188","4927","51","19029"
"38","ZCTA5 90033","6731","1117","1181","2316","61","26611"
"39","ZCTA5 90034","25495","4202","609","10684","121","8883"
"40","ZCTA5 90035","21444","1907","117","2113","20","1608"
"41","ZCTA5 90036","24592","2343","119","6837","35","1658"
"42","ZCTA5 90037","5693","11138","2050","998","30","35413"
"43","ZCTA5 90038","9912","1485","570","2247","43","9594"
"44","ZCTA5 90039","13433","580","300","4745","38","4786"
"45","ZCTA5 90040","1975","109","377","191","5","6550"
"46","ZCTA5 90041","10496","603","313","7132","41","3778"
"47","ZCTA5 90042","17770","1235","1170","7232","45","20337"
"48","ZCTA5 90043","4015","25163","767","892","60","10158"
"49","ZCTA5 90044","6333","29656","1939","619","203","45120"
"50","ZCTA5 90045","21248","4463","230","6251","128","2597"
"51","ZCTA5 90046","36575","2267","178","3213","56","2307"
"52","ZCTA5 90047","2680","27994","788","499","91","13108"
"53","ZCTA5 90048","16712","925","71","1959","34","759"
"54","ZCTA5 90049","28855","599","46","3353","27","816"
"55","ZCTA5 90052","5","3","0","0","0","5"
"56","ZCTA5 90056","1240","5208","34","429","2","338"
"57","ZCTA5 90057","5502","2517","2478","8770","37","20658"
"58","ZCTA5 90058","473","523","95","155","3","1958"
"59","ZCTA5 90059","3709","11476","930","247","46","21767"
"60","ZCTA5 90061","2192","9273","500","166","74","14010"
"61","ZCTA5 90062","2871","9150","786","546","32","15034"
"62","ZCTA5 90063","8194","394","1512","1128","43","28765"
"63","ZCTA5 90064","16498","775","112","4939","35","1768"
"64","ZCTA5 90065","13784","919","858","6903","46","14080"
"65","ZCTA5 90066","29444","1967","763","7965","104","7207"
"66","ZCTA5 90067","2600","50","2","445","5","74"
"67","ZCTA5 90068","17537","1101","80","1800","25","1102"
"68","ZCTA5 90069","15836","624","55","1340","22","798"
"69","ZCTA5 90071","224","351","4","41","5","160"
"70","ZCTA5 90073","537","228","9","23","3","76"
