,FQHC1,FQHC2,FQHC3,FQHC4,FQHC5,FQHC6,FQHC7,FQHC8,FQHC9,FQHC10,FQHC11,FQHC12,FQHC13,FQHC14,FQHC15,FQHC16,FQHC17,FQHC18,FQHC19,FQHC20,FQHC21,FQHC22,FQHC23,FQHC24,FQHC25,FQHC26,FQHC27,FQHC28,FQHC29,FQHC30,FQHC31,FQHC32,FQHC33,FQHC34,FQHC35,FQHC36,FQHC37,FQHC38,FQHC39,FQHC40,FQHC41,FQHC42,FQHC43,FQHC44,FQHC45,FQHC46,FQHC47,FQHC48,FQHC49,FQHC50,FQHC51,FQHC52,FQHC53,FQHC54,FQHC55,FQHC56,FQHC57,FQHC58,FQHC59,FQHC60,FQHC61,FQHC62,FQHC63,FQHC64,FQHC65,FQHC66,FQHC67,FQHC68,FQHC69,FQHC70,FQHC71,FQHC72,FQHC73,FQHC74,FQHC75,FQHC76,FQHC77,FQHC78,FQHC79,FQHC80,FQHC81,FQHC82,FQHC83,FQHC84,FQHC85,FQHC86,FQHC87,FQHC88,FQHC89,FQHC90,FQHC91,FQHC92,FQHC93,FQHC94,FQHC95,FQHC96,FQHC97,FQHC98,FQHC99,FQHC100,FQHC101,FQHC102,FQHC103,FQHC104,FQHC105,FQHC106,FQHC107,FQHC108,FQHC109,FQHC110,FQHC111,FQHC112,FQHC113,FQHC114,FQHC115,FQHC116,FQHC117,FQHC118,FQHC119,FQHC120,FQHC121,FQHC122,FQHC123,FQHC124,FQHC125,FQHC126,FQHC127,FQHC128,FQHC129,FQHC130,FQHC131,FQHC132,FQHC133,FQHC134,FQHC135,FQHC136,FQHC137,FQHC138,FQHC139,FQHC140,FQHC141,FQHC142,FQHC143,FQHC144,FQHC145,FQHC146,FQHC147,FQHC148,FQHC149,FQHC150,FQHC151,FQHC152,FQHC153,FQHC154,FQHC155,FQHC156,FQHC157,FQHC158,FQHC159,FQHC160,FQHC161,FQHC162,FQHC163,FQHC164,FQHC165,FQHC166,FQHC167,FQHC168,FQHC169,FQHC170,FQHC171,FQHC172,FQHC173,FQHC174,FQHC175,FQHC176,FQHC177,FQHC178,FQHC179,FQHC180,FQHC181,FQHC182,FQHC183,FQHC184,FQHC185,FQHC186,FQHC187,FQHC188,FQHC189,FQHC190,FQHC191,FQHC192,FQHC193,FQHC194,FQHC195,FQHC196,FQHC197,FQHC198,FQHC199,FQHC200,FQHC201,FQHC202,FQHC203,FQHC204,FQHC205,FQHC206,FQHC207,FQHC208,FQHC209,FQHC210,FQHC211,FQHC212,FQHC213,FQHC214,FQHC215,FQHC216,FQHC217,FQHC218,FQHC219,FQHC220,FQHC221,FQHC222,FQHC223,FQHC224,FQHC225,FQHC226,FQHC227,FQHC228,FQHC229,FQHC230,FQHC231,FQHC232,FQHC233,FQHC234,FQHC235,FQHC236,FQHC237,FQHC238,FQHC239,FQHC240,FQHC241,FQHC242,FQHC243,FQHC244,FQHC245,FQHC246,FQHC247,FQHC248,FQHC249,FQHC250,FQHC251,FQHC252,FQHC253,FQHC254,FQHC255,FQHC256,FQHC257,FQHC258,FQHC259,FQHC260,FQHC261,FQHC262,FQHC263,FQHC264,FQHC265,FQHC266,FQHC267,FQHC268,FQHC269,FQHC270,FQHC271,FQHC272,FQHC273,FQHC274,FQHC275,FQHC276,FQHC277,FQHC278,FQHC279,FQHC280,FQHC281,FQHC282,FQHC283,FQHC284,FQHC285,FQHC286,FQHC287,FQHC288,FQHC289,FQHC290,FQHC291,FQHC292,FQHC293,FQHC294,FQHC295,FQHC296,FQHC297,FQHC298,FQHC299,FQHC300,FQHC301,>>>>>>> a8fed069e83b261ebb5fea78dfd573ee0d8885fc:Coordinates_FQHC_address.csv
FQHC1,0.0,,,,,,,,,,,,,,410.75,,,,398.35,,,,,,,,,126.83333333333333,,,,,,,457.21666666666664,,,174.33333333333334,,,,,,,,,,,,,395.23333333333335,,,,,,,1185.7666666666667,573.6166666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.06666666666666,,,,,,,,,,,,245.95,,,,,,,,,,,,,,,,,1126.3333333333333,,366.23333333333335,,349.03333333333336,,,,,,366.3666666666667,352.1333333333333,,69.45,,,,482.76666666666665,,,,,,,,,,370.4,,,,,,,,,,,,90.7,,,194.23333333333332,,,,,899.8,,,,,,,,,,,,,,,,1006.4666666666667,,,,,,,,,380.35,,,,,,,,,,,,,,,,,,,,,,,,,318.8666666666667,1414.6833333333334,,,,,,,,,295.53333333333336,,,,,,,,,,,,1315.75,,,,,,1255.15,,409.68333333333334,,,,,,,,1094.75,,,,,,,,,321.25,,,,,,,,,,,,,,,,,,,,,,533.7666666666667,,,,,,,,,,476.23333333333335,,168.71666666666667,,,,,,,
FQHC2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.21666666666667,,,143.33333333333334,,,,195.61666666666667,,,34.483333333333334,,195.18333333333334,,,,,,142.65,177.5,205.41666666666666,,,,,,,,,,,,,,201.33333333333334,,,,,163.31666666666666,,,,,,,,,,200.5,,,201.95,202.45,,,,,,,,,254.68333333333334,,,,,,,,,,,207.2,,,,,149.43333333333334,,,,,,,,,,,,,,,194.9,,,,,,117.0,,,,160.35,,,,216.3,,,,,123.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.58333333333334,,,,,,113.98333333333333,283.1166666666667,,,,,,,,,,,,,,,,,,1026.5166666666667,109.73333333333333,,,,,,,,151.98333333333332,,,,,175.28333333333333,,,217.8,,,,,,,,,,171.5,,,,,,,,88.3,,,,,135.26666666666668,,,,,,,,,118.5,,,,,,,,,,175.01666666666668,,,,,,,,379.1333333333333,,,,,,,,,,,178.88333333333333,,,,,167.25,,,,,,,,
FQHC3,,,0.0,,416.3,335.15,,,,,,,,,,1087.3333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,328.81666666666666,,,,,,,,,,,,,,,,,,112.13333333333334,,,,,,,,,,491.4166666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.6666666666667,,,,,58.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.06666666666666,,,,379.96666666666664,,,,,,526.0666666666667,,,,,,,,,356.46666666666664,,,324.75,,331.78333333333336,,,,,,,68.18333333333334,866.2166666666667,,,,,,,,459.3833333333333,381.4,,,,,,,824.1,,1230.75,,,,,,,948.3166666666667,,959.1666666666666,,,,,,,,,,,,,,,,,,,,,,,825.9166666666666,,492.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966.7333333333333,,,,,,
FQHC4,,,,0.0,,,,,,,,,,,,,138.25,,,14.8,,,121.98333333333333,,,,,,364.7,,,,,,,,,,,,96.93333333333334,,,,,,,,,,,,,,148.71666666666667,,,,,,,115.46666666666667,,,,,,,,,,,,,,,,,,,,,,153.55,57.4,329.8333333333333,,,,,,,,,110.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.33333333333333,,,,,,,,,,,112.68333333333334,,,,,,,,,,,,137.63333333333333,,,,,144.93333333333334,,,,,,,124.86666666666666,,,,,,,,131.16666666666666,,,,,,116.46666666666667,,,,,,,,,,,97.25,,,,,130.66666666666666,,,,,,,,,126.43333333333334,84.96666666666667,103.06666666666666,,,,81.75,,141.71666666666667,,,7.233333333333333,,,,,,,,,,,,,9.1,,,110.75,98.98333333333333,,,,,,,139.73333333333332,,,,,,,100.63333333333334,,,,,,,,,,,,134.78333333333333,,,446.6333333333333,,,,,,,,,9.983333333333333,,,,,,137.6,,,,,,,,,,127.48333333333333,,,,,157.65,,,,,,177.08333333333334,,,,,,,129.95,,,
FQHC5,,,339.46666666666664,,0.0,164.01666666666668,,,,,,,,,,262.2,,,,,,,,,,,,,,367.35,,,,,,,,,,,,,203.61666666666667,,,,,,,,,,,,,,,,,,245.03333333333333,,,,,,591.8166666666667,,,,91.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.53333333333333,,,,,288.1333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.73333333333333,,,,120.76666666666667,,,,,,134.75,,,,,,,,,88.63333333333334,,,180.55,,187.58333333333334,,,,,,,192.75,154.85,,692.1166666666667,,,,,245.0,350.6333333333333,260.31666666666666,,,,,,,132.73333333333332,,,,,,,,692.4,232.95,,270.8,,,,,,,,,,,,,,,,,,,,,,255.43333333333334,134.55,,160.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.98333333333332,,669.2166666666667,,,,,,,,,83.76666666666667,,,,,,,,,,,,,,,,,,796.7,,,,,,
FQHC6,,,229.31666666666666,,179.95,0.0,,,,,,,,,,223.98333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,113.46666666666667,,700.35,,,,,,,,,1125.6666666666667,,,,,,,134.88333333333333,,,,,,,,,,185.06666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.583333333333334,,,,,177.98333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.28333333333333,,,,120.61666666666666,,,,,,192.3,,,,,,,,,99.73333333333333,,,75.4,,82.43333333333334,,,,,,,82.6,21.633333333333333,,,,,,,,265.0833333333333,851.1,,,,,,,38.516666666666666,512.55,374.1666666666667,,,,,,,37.733333333333334,,134.75,,,,,,,,,,,,,,,,,,,,,,,40.333333333333336,,927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.76666666666667,,,,,508.26666666666665,,,,,,158.73333333333332,,,,,,508.1666666666667,,,,,,,,,,,,194.31666666666666,,,,,,
FQHC7,,,,,,,0.0,,,,,,87.16666666666667,,172.08333333333334,,,,146.13333333333333,,,,,,,,,,,,,,,,141.63333333333333,,,,,,,,,,,,,,,,159.15,,,,,,,,194.86666666666667,,,,,,,68.68333333333334,,,,,,,,54.43333333333333,,,58.63333333333333,,,,,,,,,,,246.15,,,63.516666666666666,,,,,,,,,,,,,,,,,,36.88333333333333,,,,28.333333333333332,23.7,,,361.51666666666665,,99.25,77.9,111.81666666666666,,,,,,98.16666666666667,111.23333333333333,,,,,,113.26666666666667,,,,,,61.0,,,,55.11666666666667,55.483333333333334,50.75,,,,15.6,,,,,,,,,,,,,56.266666666666666,,,,82.28333333333333,,,,,61.483333333333334,,,,,40.516666666666666,,,229.48333333333332,,47.516666666666666,,,,,,,87.21666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.15,,,,,,,,,,,,,,,49.583333333333336,,48.7,341.6,,,,,,,,173.81666666666666,,,45.483333333333334,,,150.13333333333333,,181.56666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28333333333333,,,46.03333333333333,156.8,,,,193.05,,,,43.7,,151.65,,,,,,,90.96666666666667,81.81666666666666,
FQHC8,,,,,,,,0.0,,,,,,,,,,90.88333333333334,,,111.96666666666667,,,265.96666666666664,172.76666666666668,,,,,,176.43333333333334,,,,,,,236.53333333333333,,,,,,130.25,259.03333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.88333333333333,,191.85,,,,,,,,,,,,,,188.08333333333334,61.75,,,,46.233333333333334,,,721.4666666666667,,,209.11666666666667,,,,,,139.03333333333333,78.85,,,,30.566666666666666,273.31666666666666,,,,46.06666666666667,,,,353.25,,120.4,,,,,,,,,,,,370.6,,,,,,,,,,,,,,,,,,28.65,,,118.75,,,,,,,,,,125.11666666666666,,337.06666666666666,,,,,,,,,,,,,,,,,391.23333333333335,,,,,,,,,,,,160.71666666666667,,,,,,163.53333333333333,,,,,,,21.016666666666666,,,,,291.1333333333333,1621.2833333333333,173.76666666666668,,,,,,,,267.8,,,,,,,,,,,,,,,,,,,,,,,,,171.05,,,,,,,,,13.4,,,97.43333333333334,,54.583333333333336,,,,,,,,,162.33333333333334,,,,,,,,,,,,162.51666666666668,,,,,,,,,,,254.55,,,,,,,
FQHC9,,,,,,,,,0.0,33.083333333333336,,,,,,,,,,,,277.4,,,,,160.63333333333333,,,,,84.73333333333333,,,,154.4,,,75.28333333333333,,,,,,,147.31666666666666,,,,,,81.86666666666666,,,,69.8,,,,,,,133.76666666666668,,,,,73.98333333333333,,,,,,,,,,71.85,,,220.53333333333333,,,,,,103.95,,,,,,95.88333333333334,,,133.11666666666667,,133.31666666666666,102.0,,101.85,51.4,,171.5,,,,,,,,,,,,,,,,,,,,,,,,,,,64.05,,,,67.26666666666667,,,,214.21666666666667,,,,,,,,,,,,,,216.65,180.88333333333333,,,,,,,,,,,,,,,,84.98333333333333,,,71.18333333333334,,,,,,,,,,74.98333333333333,,,,,,,,,,,75.9,,,,143.63333333333333,,,,,,,,,,53.416666666666664,,,,,,,,,,,,,73.61666666666666,111.25,,,,,,,,86.68333333333334,,85.3,,,,,82.71666666666667,,61.56666666666667,73.41666666666667,,,,,76.81666666666666,,,67.28333333333333,,,,,,100.46666666666667,97.03333333333333,,57.15,,68.15,,,85.4,,82.6,,,,,,,,,,,,163.1,,,,,,,,,96.5,,,166.28333333333333,,,,,,,,,56.86666666666667,,,,,
FQHC10,,,,,,,,,32.06666666666667,0.0,,,,,,,,,,,,241.03333333333333,,,,,163.16666666666666,,,,,87.31666666666666,,,,155.51666666666668,,,84.85,,,,,,,129.81666666666666,,,,,,72.26666666666667,,,,61.1,,,,,,,116.26666666666667,,,,,60.416666666666664,,,,,,,,,,65.26666666666667,,,198.05,,,,,,76.83333333333333,,,,,,60.916666666666664,,,135.06666666666666,,135.25,71.3,,,37.31666666666667,,158.36666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,59.666666666666664,,,,64.78333333333333,,,,189.83333333333334,,,,,,,,,,,,,,204.88333333333333,156.76666666666668,,,,,,,,,,,,,,,,60.11666666666667,,,28.116666666666667,,,,,,,,,,69.56666666666666,,,,,,,,,,,75.48333333333333,,,,129.18333333333334,,,,,,,,,,39.28333333333333,,,,,,,,,,,,,53.333333333333336,75.13333333333334,,,,,,,,78.71666666666667,,63.46666666666667,,,,,70.88333333333334,,64.45,74.26666666666667,,,,,61.53333333333333,,,66.9,,,,,,91.98333333333333,81.2,,42.833333333333336,,52.86666666666667,,,62.25,,67.31666666666666,,,,,,,,,,,82.95,149.93333333333334,,,,,,,,,93.15,,,174.78333333333333,,,,,,,,,63.5,,,,,
