,FQHC1,FQHC2,FQHC3,FQHC4,FQHC5,FQHC6,FQHC7,FQHC8,FQHC9,FQHC10,FQHC11,FQHC12,FQHC13,FQHC14,FQHC15,FQHC16,FQHC17,FQHC18,FQHC19,FQHC20,FQHC21,FQHC22,FQHC23,FQHC24,FQHC25,FQHC26,FQHC27,FQHC28,FQHC29,FQHC30,FQHC31,FQHC32,FQHC33,FQHC34,FQHC35,FQHC36,FQHC37,FQHC38,FQHC39,FQHC40,FQHC41,FQHC42,FQHC43,FQHC44,FQHC45,FQHC46,FQHC47,FQHC48,FQHC49,FQHC50,FQHC51,FQHC52,FQHC53,FQHC54,FQHC55,FQHC56,FQHC57,FQHC58,FQHC59,FQHC60,FQHC61,FQHC62,FQHC63,FQHC64,FQHC65,FQHC66,FQHC67,FQHC68,FQHC69,FQHC70,FQHC71,FQHC72,FQHC73,FQHC74,FQHC75,FQHC76,FQHC77,FQHC78,FQHC79,FQHC80,FQHC81,FQHC82,FQHC83,FQHC84,FQHC85,FQHC86,FQHC87,FQHC88,FQHC89,FQHC90,FQHC91,FQHC92,FQHC93,FQHC94,FQHC95,FQHC96,FQHC97,FQHC98,FQHC99,FQHC100,FQHC101,FQHC102,FQHC103,FQHC104,FQHC105,FQHC106,FQHC107,FQHC108,FQHC109,FQHC110,FQHC111,FQHC112,FQHC113,FQHC114,FQHC115,FQHC116,FQHC117,FQHC118,FQHC119,FQHC120,FQHC121,FQHC122,FQHC123,FQHC124,FQHC125,FQHC126,FQHC127,FQHC128,FQHC129,FQHC130,FQHC131,FQHC132,FQHC133,FQHC134,FQHC135,FQHC136,FQHC137,FQHC138,FQHC139,FQHC140,FQHC141,FQHC142,FQHC143,FQHC144,FQHC145,FQHC146,FQHC147,FQHC148,FQHC149,FQHC150,FQHC151,FQHC152,FQHC153,FQHC154,FQHC155,FQHC156,FQHC157,FQHC158,FQHC159,FQHC160,FQHC161,FQHC162,FQHC163,FQHC164,FQHC165,FQHC166,FQHC167,FQHC168,FQHC169,FQHC170,FQHC171,FQHC172,FQHC173,FQHC174,FQHC175,FQHC176,FQHC177,FQHC178,FQHC179,FQHC180,FQHC181,FQHC182,FQHC183,FQHC184,FQHC185,FQHC186,FQHC187,FQHC188,FQHC189,FQHC190,FQHC191,FQHC192,FQHC193,FQHC194,FQHC195,FQHC196,FQHC197,FQHC198,FQHC199,FQHC200,FQHC201,FQHC202,FQHC203,FQHC204,FQHC205,FQHC206,FQHC207,FQHC208,FQHC209,FQHC210,FQHC211,FQHC212,FQHC213,FQHC214,FQHC215,FQHC216,FQHC217,FQHC218,FQHC219,FQHC220,FQHC221,FQHC222,FQHC223,FQHC224,FQHC225,FQHC226,FQHC227,FQHC228,FQHC229,FQHC230,FQHC231,FQHC232,FQHC233,FQHC234,FQHC235,FQHC236,FQHC237,FQHC238,FQHC239,FQHC240,FQHC241,FQHC242,FQHC243,FQHC244,FQHC245,FQHC246,FQHC247,FQHC248,FQHC249,FQHC250,FQHC251,FQHC252,FQHC253,FQHC254,FQHC255,FQHC256,FQHC257,FQHC258,FQHC259,FQHC260,FQHC261,FQHC262,FQHC263,FQHC264,FQHC265,FQHC266,FQHC267,FQHC268,FQHC269,FQHC270,FQHC271,FQHC272,FQHC273,FQHC274,FQHC275,FQHC276,FQHC277,FQHC278,FQHC279,FQHC280,FQHC281,FQHC282,FQHC283,FQHC284,FQHC285,FQHC286,FQHC287,FQHC288,FQHC289,FQHC290,FQHC291,FQHC292,FQHC293,FQHC294,FQHC295,FQHC296,FQHC297,FQHC298,FQHC299,FQHC300,FQHC301,PPHC1,PPHC2,PPHC3,PPHC4,PPHC5,PPHC6,PPHC7,PPHC8,PPHC9,PPHC10,PPHC11,PPHC12,PPHC13,PPHC14,PPHC15,PPHC16,PPHC17,PPHC18,PPHC19,PPHC20,PPHC21,PPHC22,PPHC23,PPHC24,PPHC25,PPHC26,PPHC27,PPHC28,PPHC29,PPHC30,PPHC31,PPHC32,PPHC33,PPHC34,PPHC35,PPHC36,PPHC37,PPHC38,PPHC39,PPHC40,PPHC41,PPHC42,PPHC43,PPHC44,PPHC45,PPHC46,PPHC47,PPHC48,PPHC49,PPHC50,PPHC51,PPHC52,PPHC53,PPHC54,PPHC55,PPHC56,PPHC57,PPHC58,PPHC59,PPHC60,PPHC61,PPHC62,PPHC63,PPHC64,PPHC65,PPHC66,PPHC67,PPHC68,PPHC69,PPHC70,PPHC71,PPHC72,PPHC73,PPHC74,PPHC75,PPHC76,PPHC77,PPHC78,PPHC79,PPHC80,PPHC81,PPHC82,PPHC83,PPHC84,PPHC85,PPHC86,PPHC87,PPHC88,PPHC89,PPHC90,PPHC91,PPHC92,PPHC93,PPHC94,PPHC95,PPHC96,PPHC97,PPHC98,PPHC99,PPHC100,PPHC101,PPHC102,PPHC103,PPHC104,PPHC105,PPHC106,PPHC107,PPHC108,PPHC109,PPHC110
FQHC1,0.0,,,,,,,,,,,,,,991.2333333333333,,,,375.95,,,,,,,,,117.5,,,,,,,1024.2833333333333,,,174.33333333333334,,,,,,,,,,,,,,,,,,,,,1038.6833333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.1333333333333,,,,,,,,,,,,279.25,,,,,,,,,,,,,,,,,1126.3333333333333,,,,,,,,,,,,,43.483333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,79.78333333333333,,,699.6833333333333,,,,,899.8,,,,,,,,,,,,,,,,1006.4666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068.9333333333334,1414.6833333333334,,,,,,,,,1066.9666666666667,,,,,,,,,,,,1146.7333333333333,,,,,,1255.15,,383.48333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043.3,,708.7166666666667,,,,,,,,,,,,,,,32.516666666666666,,1256.1,,,,,,,,,,,1308.25,293.1,,,,,,,,,,,,,,,,,,,,,,,,,,,993.1333333333333,293.95,,,,,,,,577.2,,,,286.3666666666667,264.85,228.08333333333334,272.23333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008.1666666666666,,,,,,,,,,,,,352.43333333333334,729.1666666666666
FQHC2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.2,,,173.33333333333334,,,,,,,34.483333333333334,,214.15,,,,,,141.83333333333334,,,,,,,,,,,,,,,,,,,,,154.33333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.41666666666666,,,,,,,,,,,,,,,,,,,,,118.75,,,,162.1,,,,199.6,,,,,139.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.85,,,,,,137.98333333333332,235.48333333333332,,,,,,,,,,,,,,,,,,750.05,722.3833333333333,,,,,,,,139.8,,,,,,,,169.06666666666666,,,,,,,,,,722.3833333333333,,,,,,,,74.8,,,,,122.76666666666667,,,,,,,,,137.38333333333333,,,,,,,,,,194.98333333333332,,,,,,,,,,,,,,,,,,,196.85,,,,,180.21666666666667,,,,,,,,,,,,,193.21666666666667,166.53333333333333,,,,,,,,,,,,,,,,,,,,,,,238.3,187.58333333333334,,,,,,,,214.46666666666667,,,,,,,,,,,,,,,122.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.75,,,241.51666666666668,,,,,,37.3,,,,,171.1,109.05,,,,,,193.58333333333334,,,,
FQHC3,,,0.0,,971.5333333333333,876.3833333333333,,,,,,,,,,969.5666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,883.6166666666667,,,,,,,,,,,,,,,,,,148.58333333333334,,,,,,,,,,1015.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879.9,,,,,53.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012.3,,,,931.2,,,,,,1042.8833333333334,,,,,,,,,877.7,,,875.9833333333333,,883.0166666666667,,,,,,,68.18333333333334,866.2166666666667,,,,,,,,459.3833333333333,381.4,,,,,,,824.1,,,,,,,,,948.3166666666667,,959.1666666666666,,,,,,,,,,,,,,,,,,,,,,,825.9166666666666,,492.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966.7333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008.1,,,,,,,,,,,,,,,,,,,1129.0666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.85,,,,,,,,
FQHC4,,,,0.0,,,,,,,,,,,,,149.55,,,16.516666666666666,,,,,,,,,,,,,,,,,,,,,107.43333333333334,,,,,,,,,,,,,,144.05,,,,,,,126.68333333333334,,,,,,,,,,,,,,,,,,,,,,147.05,58.483333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.51666666666667,,,,,,,,,,,,,,,,,118.4,,,,,,,130.01666666666668,,,,,,,,152.63333333333333,,,,,,,,,,,,,,,,,105.61666666666666,,,,,143.93333333333334,,,,,,,,,,97.11666666666666,113.15,,,,94.31666666666666,,133.9,,,7.233333333333333,,,,,,,,,,,,,9.1,,,123.91666666666667,89.83333333333333,,,,,,,143.48333333333332,,,,,,,111.85,,,,,,,,,,,,,,,,,,,,,,,,9.983333333333333,,,,,,142.5,,,,,,,,,,137.76666666666668,,,,,167.66666666666666,,,,,,174.65,,,,,,,,,,,,,,,,,,,,,,,,,,153.46666666666667,681.9333333333333,,,22.033333333333335,,,,,,,614.3166666666667,,,,,,,,,,,,,,,,,,,,,503.1666666666667,,,,,,,,,,,,,,,,,,,,128.96666666666667,126.61666666666666,79.08333333333333,81.56666666666666,98.56666666666666,117.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.91666666666667,,,,,,,
FQHC5,,,703.8333333333334,,0.0,143.95,,,,,,,,,,219.2,,,,,,,,,,,,,,925.5,,,,,,,,,,,,,137.61666666666667,,,,,,,,,,,,,,,,,,183.03333333333333,,,,,,,,,,98.61666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.46666666666667,,,,,756.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.26666666666668,,,,98.76666666666667,,,,,,132.85,,,,,,,,,77.88333333333334,,,160.61666666666667,,167.65,,,,,,,234.0,150.85,,,,,,,983.6333333333333,350.6333333333333,,,,,,,,127.73333333333333,,,,,,,,,683.2666666666667,,,,,,,,,,,,,,,,,,,,,,,,,129.55,,160.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.2,,,,,,,,,,,71.18333333333334,,,,,,,,,,,,,,,,,,796.7,,,,,,,,,94.35,,,,,,,,,,,,,,,,,,,,131.96666666666667,,,,,,,,,,,,,,,,,,,240.43333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885.2166666666667,,,,,,,,,,,,,,,,,134.1,,,,,,,,
FQHC6,,,229.31666666666666,,229.95,0.0,,,,,,,,,,247.98333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,91.63333333333334,,700.35,,,,,,,,,790.6666666666666,,,,,,,149.88333333333333,,,,,,,,,,157.06666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.583333333333334,,,,,177.98333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.71666666666667,,,,115.61666666666666,,,,,,191.71666666666667,,,,,,,,,94.73333333333333,,,100.4,,107.43333333333334,,,,,,,102.6,21.633333333333333,,,,,,,,265.0833333333333,851.1,,,,,,,38.516666666666666,,769.1666666666666,,,,,,,37.733333333333334,,151.75,,,,,,,,,,,,,,,,,,,,,,,35.333333333333336,,927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.3,,,,,,,,,,,158.73333333333332,,,,,,,,,,,,,,,,,,194.31666666666666,,,,,,,,,181.9,,,,,,,,,,,,,,,,,,,,161.51666666666668,,,,,,,,,,,,,,,,,,,746.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.55,,,,,,,,
FQHC7,,,,,,,0.0,,,,,,88.58333333333333,,94.66666666666667,,,,138.15,,,,,,,,,,,,,,,,132.63333333333333,,,,,,,,,,,,,,,,115.65,,,,,,,398.3666666666667,193.86666666666667,,,,,,,63.36666666666667,,,,,,,,54.43333333333333,,,58.63333333333333,,,,,,,,,,,,,,63.516666666666666,,,,,,,,,,,,,,,,,,36.88333333333333,,,,19.466666666666665,43.916666666666664,,,,,85.15,,87.1,,,,,,85.28333333333333,103.63333333333334,,,,,,,,,,,,61.0,,,,66.25,50.5,48.61666666666667,,,,17.25,,,,,,,,,,,,,62.4,,,,,,,,,53.1,,,,,50.96666666666667,,,249.06666666666666,,47.516666666666666,,,,,,,84.38333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.483333333333334,,50.333333333333336,,,,,,,,,136.5,,,45.483333333333334,,,155.41666666666666,,178.88333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28333333333333,,,46.03333333333333,194.93333333333334,,,,196.88333333333333,,,,43.7,,162.31666666666666,,,,,,,88.96666666666667,83.28333333333333,,,,,,,,,,,,,,,,,,,23.966666666666665,,,,87.11666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,103.8,,36.68333333333333,,,,,,,,,35.46666666666667,,,,,,,,,,,,,,71.16666666666667,,,,,,126.05,68.26666666666667,,,,,,,151.03333333333333,,93.08333333333333,,,,,250.76666666666668,,50.7,,,,,,,,,,,,
FQHC8,,,,,,,,0.0,,,,,,,,,,69.81666666666666,,,98.13333333333334,,,,123.1,,,,,,93.98333333333333,,,,,,,,,,,,,146.41666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.31666666666666,,98.4,,,,,,,,,,,,,,92.98333333333333,58.8,,,,41.233333333333334,,,721.4666666666667,,,168.13333333333333,,,,,,139.76666666666668,78.85,,,,30.566666666666666,261.95,,,,44.3,,,,,,133.21666666666667,,,,,,,,,,,,265.3666666666667,,,,,,,,,,,,,,,,,,30.716666666666665,,,118.75,,,,,,,,,,124.91666666666667,,,,,,,,,,,,,,,,,,,294.25,,,,,,,,,,,,,,,,,,183.53333333333333,,,,,,,21.016666666666666,,,,,771.1333333333333,1621.2833333333333,,,,,,,,,769.1666666666666,,,,,,,,,,,,,,,,,,,,,,,,,788.8333333333334,,,,,,,,,14.083333333333334,,,118.58333333333333,,67.06666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.21666666666667,,,116.61666666666666,,,,211.15,,,,,,,,,,,,243.0,151.31666666666666,110.28333333333333,173.18333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,35.983333333333334,3.85,,99.08333333333333,,,,,,,,,,,,,,,
FQHC9,,,,,,,,,0.0,31.216666666666665,,,,,,,,,,,,173.43333333333334,,,,,174.33333333333334,,,,,96.41666666666667,,,,161.0,,,87.76666666666667,,,,,,,149.31666666666666,,,,,,81.28333333333333,,,,61.53333333333333,,,,,,,135.63333333333333,,,,,66.85,,,,,,,,,,75.28333333333333,,,179.0,,,,,,104.4,,,,,,99.21666666666667,,,182.56666666666666,,182.76666666666668,113.9,,,44.46666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.68333333333333,,,,68.05,,,,198.58333333333334,,,,,,,,,,,,,,,172.88333333333333,,,,,,,,,,,,,,,,,,,69.18333333333334,,,,,,,,,,78.58333333333333,,,,,,,,,,,92.46666666666667,,,,153.63333333333333,,,,,,,,,,65.23333333333333,,,,,,,,,,,,,,108.68333333333334,,,,,,,,87.68333333333334,,,,,,,87.6,,71.18333333333334,76.85,,,,,,,,69.16666666666667,,,,,,96.43333333333334,95.11666666666666,,49.25,,,,,,,,,,,,,,,,,,,180.01666666666668,,,,,,,,,95.15,,,,,,,,,,,,69.63333333333334,,,,,82.61666666666666,119.38333333333334,,,68.15,,,,,,,,,,497.96666666666664,168.48333333333332,,,,37.983333333333334,,,,,,91.01666666666667,,,,,,107.5,,,,,42.43333333333333,70.6,,,,71.13333333333334,,,,,,,,,,,159.98333333333332,,203.51666666666668,90.68333333333334,96.66666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,195.93333333333334,,,,,,,,,,,,,113.76666666666667,,,,255.4,,,,,,156.8,40.7,,
FQHC10,,,,,,,,,29.833333333333332,0.0,,,,,,,,,,,,164.48333333333332,,,,,150.43333333333334,,,,,92.81666666666666,,,,148.71666666666667,,,80.95,,,,,,,165.56666666666666,,,,,,79.86666666666666,,,,62.13333333333333,,,,,,,120.6,,,,,61.45,,,,,,,,,,61.6,,,170.05,,,,,,65.76666666666667,,,,,,62.35,,,159.68333333333334,,121.31666666666666,76.55,,,32.96666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78333333333333,,,,68.23333333333333,,,,,,,,,,,,,,,,,,,158.03333333333333,,,,,,,,,,,,,,,,,,,27.583333333333332,,,,,,,,,,77.31666666666666,,,,,,,,,,,61.68333333333333,,,,128.91666666666666,,,,,,,,,,50.93333333333333,,,,,,,,,,,,,,76.31666666666666,,,,,,,,78.9,,,,,,,72.05,,64.98333333333333,68.33333333333333,,,,,,,,69.05,,,,,,98.36666666666666,90.51666666666667,,37.333333333333336,,,,,,,,,,,,,,,,,,,172.78333333333333,,,,,,,,,104.46666666666667,,,,,,,,,,,,69.1,,,,,56.03333333333333,104.61666666666666,,,48.083333333333336,,,,,,,,,,,155.35,,,,14.683333333333334,,,,,,98.83333333333333,,,,,,,,,,,30.933333333333334,67.0,,,,59.416666666666664,,,,,,,,,,,146.36666666666667,,189.85,53.416666666666664,74.88333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,174.4,,,,,,,,,,,,,113.11666666666666,,,,216.03333333333333,,,,,,142.85,52.35,,
