,FQHC1,FQHC2,FQHC3,FQHC4,FQHC5,FQHC6,FQHC7,FQHC8,FQHC9,FQHC10,FQHC11,FQHC12,FQHC13,FQHC14,FQHC15,FQHC16,FQHC17,FQHC18,FQHC19,FQHC20,FQHC21,FQHC22,FQHC23,FQHC24,FQHC25,FQHC26,FQHC27,FQHC28,FQHC29,FQHC30,FQHC31,FQHC32,FQHC33,FQHC34,FQHC35,FQHC36,FQHC37,FQHC38,FQHC39,FQHC40,FQHC41,FQHC42,FQHC43,FQHC44,FQHC45,FQHC46,FQHC47,FQHC48,FQHC49,FQHC50,FQHC51,FQHC52,FQHC53,FQHC54,FQHC55,FQHC56,FQHC57,FQHC58,FQHC59,FQHC60,FQHC61,FQHC62,FQHC63,FQHC64,FQHC65,FQHC66,FQHC67,FQHC68,FQHC69,FQHC70,FQHC71,FQHC72,FQHC73,FQHC74,FQHC75,FQHC76,FQHC77,FQHC78,FQHC79,FQHC80,FQHC81,FQHC82,FQHC83,FQHC84,FQHC85,FQHC86,FQHC87,FQHC88,FQHC89,FQHC90,FQHC91,FQHC92,FQHC93,FQHC94,FQHC95,FQHC96,FQHC97,FQHC98,FQHC99,FQHC100,FQHC101,FQHC102,FQHC103,FQHC104,FQHC105,FQHC106,FQHC107,FQHC108,FQHC109,FQHC110,FQHC111,FQHC112,FQHC113,FQHC114,FQHC115,FQHC116,FQHC117,FQHC118,FQHC119,FQHC120,FQHC121,FQHC122,FQHC123,FQHC124,FQHC125,FQHC126,FQHC127,FQHC128,FQHC129,FQHC130,FQHC131,FQHC132,FQHC133,FQHC134,FQHC135,FQHC136,FQHC137,FQHC138,FQHC139,FQHC140,FQHC141,FQHC142,FQHC143,FQHC144,FQHC145,FQHC146,FQHC147,FQHC148,FQHC149,FQHC150,FQHC151,FQHC152,FQHC153,FQHC154,FQHC155,FQHC156,FQHC157,FQHC158,FQHC159,FQHC160,FQHC161,FQHC162,FQHC163,FQHC164,FQHC165,FQHC166,FQHC167,FQHC168,FQHC169,FQHC170,FQHC171,FQHC172,FQHC173,FQHC174,FQHC175,FQHC176,FQHC177,FQHC178,FQHC179,FQHC180,FQHC181,FQHC182,FQHC183,FQHC184,FQHC185,FQHC186,FQHC187,FQHC188,FQHC189,FQHC190,FQHC191,FQHC192,FQHC193,FQHC194,FQHC195,FQHC196,FQHC197,FQHC198,FQHC199,FQHC200,FQHC201,FQHC202,FQHC203,FQHC204,FQHC205,FQHC206,FQHC207,FQHC208,FQHC209,FQHC210,FQHC211,FQHC212,FQHC213,FQHC214,FQHC215,FQHC216,FQHC217,FQHC218,FQHC219,FQHC220,FQHC221,FQHC222,FQHC223,FQHC224,FQHC225,FQHC226,FQHC227,FQHC228,FQHC229,FQHC230,FQHC231,FQHC232,FQHC233,FQHC234,FQHC235,FQHC236,FQHC237,FQHC238,FQHC239,FQHC240,FQHC241,FQHC242,FQHC243,FQHC244,FQHC245,FQHC246,FQHC247,FQHC248,FQHC249,FQHC250,FQHC251,FQHC252,FQHC253,FQHC254,FQHC255,FQHC256,FQHC257,FQHC258,FQHC259,FQHC260,FQHC261,FQHC262,FQHC263,FQHC264,FQHC265,FQHC266,FQHC267,FQHC268,FQHC269,FQHC270,FQHC271,FQHC272,FQHC273,FQHC274,FQHC275,FQHC276,FQHC277,FQHC278,FQHC279,FQHC280,FQHC281,FQHC282,FQHC283,FQHC284,FQHC285,FQHC286,FQHC287,FQHC288,FQHC289,FQHC290,FQHC291,FQHC292,FQHC293,FQHC294,FQHC295,FQHC296,FQHC297,FQHC298,FQHC299,FQHC300,FQHC301
FQHC1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2996.2833333333333,NA,NA,NA,2502.4,NA,NA,NA,NA,NA,NA,NA,NA,393.28333333333336,NA,NA,NA,NA,NA,NA,3018.016666666667,NA,NA,1068.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3024.8333333333335,NA,2233.233333333333,NA,NA,NA,NA,3464.7,3097.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1562.0333333333333,NA,NA,NA,NA,NA,NA,NA,1959.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2053.733333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3127.4166666666665,NA,2768.7166666666667,NA,NA,NA,NA,NA,3127.5333333333333,2776.2,NA,115.01666666666667,NA,NA,NA,3836.9166666666665,NA,NA,NA,NA,NA,NA,NA,NA,2878,3171.233333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.58333333333334,NA,NA,1354,NA,NA,NA,NA,2159.616666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3020.733333333333,NA,NA,NA,NA,NA,NA,NA,NA,3162.9666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2666.8333333333335,NA,NA,NA,3108.4166666666665,NA,NA,NA,NA,NA,2675.733333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2536.0666666666666,NA,NA,NA,NA,NA,NA,NA,2472.483333333333,NA,NA,NA,NA,NA,NA,NA,3436.2833333333333,NA,NA,NA,NA,NA,NA,NA,NA,2937.1666666666665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3232.4666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,2956.866666666667,NA,1075.8833333333334,NA,NA,NA,NA,NA,NA
FQHC2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,976.4833333333333,NA,NA,779.1,NA,NA,NA,1092.35,NA,NA,54.266666666666666,NA,844.3166666666667,NA,NA,NA,NA,NA,476.18333333333334,1030.5,1101.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1139.25,NA,NA,NA,NA,234.88333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,1105.2833333333333,NA,NA,1140.1833333333334,1105.1333333333334,NA,NA,NA,NA,NA,NA,NA,NA,1236.0833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1152.0666666666666,NA,NA,NA,NA,633.0666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1091.35,NA,NA,NA,NA,NA,473.56666666666666,NA,NA,NA,419.6166666666667,NA,NA,NA,873.65,NA,NA,NA,NA,436.98333333333335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,783.3,NA,NA,NA,NA,NA,262.9,1100.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.35,NA,NA,NA,NA,NA,NA,NA,400.7,NA,NA,NA,NA,1028.2833333333333,NA,NA,777.1833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.35,NA,NA,NA,NA,NA,NA,NA,251,NA,NA,NA,NA,431.06666666666666,NA,NA,NA,NA,NA,NA,NA,NA,523.2333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,815.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,767,NA,NA,NA,NA,753.8333333333334,NA,NA,NA,NA,NA,NA,NA
FQHC3,NA,NA,0,NA,1402.45,1601.6333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,1489.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1611.5833333333333,NA,NA,NA,NA,NA,NA,NA,NA,1551.0333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1165.4,660.0666666666667,NA,NA,NA,NA,NA,2605.266666666667,NA,NA,NA,1314.8166666666666,2446.0666666666666,NA,NA,NA,2195.5833333333335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502.95,NA,NA,NA,NA,NA,NA,NA,NA,889.5333333333333,NA,NA,NA,NA,NA,NA,NA,1594.7333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1314.6,NA,1904.5833333333333,NA,1083.55,NA,NA,NA,NA,NA,1232.4666666666667,NA,NA,NA,NA,NA,NA,NA,NA,1119.2833333333333,NA,NA,1169.55,NA,1167.7833333333333,NA,NA,NA,NA,1438.3333333333333,NA,850.2833333333333,1452.3833333333334,NA,1309.8166666666666,NA,NA,NA,NA,NA,822.25,NA,NA,NA,NA,NA,NA,NA,1305.1166666666666,NA,NA,NA,NA,NA,NA,NA,1310.15,NA,NA,1230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1306.45,NA,1114.2166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1361.3666666666666,1630.4333333333334,2152.016666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1563.55,NA,NA,NA,NA,NA
FQHC4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,742.6,NA,NA,14.733333333333333,NA,NA,870.8166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754.5166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,724,NA,NA,NA,NA,NA,NA,743.2833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,710.7833333333333,383.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,790.5666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,864.2166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,793.5666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,933.9333333333333,NA,NA,NA,NA,1142.2333333333333,NA,NA,NA,NA,NA,NA,833.2,NA,NA,NA,NA,NA,NA,NA,740.8,NA,NA,NA,NA,NA,818.4833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,753.8333333333334,NA,NA,NA,NA,721.1166666666667,NA,NA,NA,NA,NA,NA,NA,NA,1064.9,753.6833333333333,703.05,NA,NA,NA,751.0833333333334,NA,791.0333333333333,NA,NA,7.233333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,819.0166666666667,766.7833333333333,NA,NA,NA,NA,NA,NA,720.7333333333333,NA,NA,NA,NA,NA,NA,774.4833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,957.4833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.983333333333333,NA,NA,NA,NA,NA,814.6666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,824.95,NA,NA,NA,NA,862.5166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,851.8333333333334,NA,NA
FQHC5,NA,NA,1415.4833333333333,NA,0,1117.2833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,608.7333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3563.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1230.8166666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2268.516666666667,1213.0666666666666,NA,NA,NA,NA,NA,2985.016666666667,NA,NA,NA,1783.5333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1123.2833333333333,NA,NA,NA,NA,1106.5833333333333,NA,NA,NA,NA,NA,NA,NA,NA,765.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1782.6833333333334,NA,NA,NA,745.95,NA,NA,NA,NA,NA,1741.7666666666667,NA,NA,NA,NA,NA,NA,NA,NA,733.25,NA,NA,1051.45,NA,1056.6333333333334,NA,NA,NA,NA,NA,NA,1093.8666666666666,1012.1666666666666,NA,2280.5333333333333,NA,NA,NA,NA,3597.9333333333334,1482.3333333333333,952.8,NA,NA,NA,NA,NA,NA,929.9,NA,NA,NA,NA,NA,NA,NA,2280.866666666667,1374.3666666666666,NA,1240.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3792.2166666666667,931.6166666666667,NA,2030.8666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,872.1833333333333,2407.6833333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,854.7666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,479.18333333333334,NA,NA,NA,NA,NA
FQHC6,NA,NA,1612.6,NA,1113.4166666666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,614.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371,NA,2556.85,NA,NA,NA,NA,NA,NA,NA,NA,2241.5833333333335,NA,NA,NA,NA,NA,2739.25,936.3666666666667,NA,NA,NA,2336.55,NA,NA,NA,NA,NA,1133.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.583333333333334,NA,NA,NA,NA,1137.9333333333334,NA,NA,NA,NA,NA,NA,NA,NA,1777.9833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1132.25,NA,NA,NA,573.7333333333333,NA,NA,NA,NA,NA,1091.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,538.0833333333334,NA,NA,436.21666666666664,NA,429.31666666666666,NA,NA,NA,NA,NA,NA,748.2,157.55,NA,NA,NA,NA,NA,NA,NA,1011.6166666666667,809.05,NA,NA,NA,NA,NA,NA,305.26666666666665,2557.733333333333,2114.5333333333333,NA,NA,NA,NA,NA,NA,355.9166666666667,NA,519.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.93333333333334,NA,1436.5333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286.3,NA,NA,NA,NA,2541.866666666667,NA,NA,NA,NA,NA,1717.9166666666667,NA,NA,NA,NA,NA,2542.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,763.5666666666667,NA,NA,NA,NA,NA
FQHC7,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,444.5,NA,1565.1333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1593.5833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.1666666666667,NA,NA,NA,NA,NA,NA,NA,328.8666666666667,NA,NA,213.01666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.83333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.48333333333332,NA,NA,NA,49.9,148.2,NA,NA,NA,NA,768.7166666666667,495.6666666666667,1114.0833333333333,NA,NA,NA,NA,NA,768.8333333333334,1111.2833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211.48333333333332,NA,NA,NA,728.4333333333333,281.6333333333333,423.1666666666667,NA,NA,NA,21.983333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322.5833333333333,NA,NA,NA,534.35,NA,NA,NA,NA,325.68333333333334,NA,NA,NA,NA,230.43333333333334,NA,NA,NA,NA,329.8666666666667,NA,NA,NA,NA,NA,NA,726.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229.05,NA,228.16666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249.63333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264.46666666666664,NA,NA,264.21666666666664,NA,NA,NA,NA,742.2,NA,NA,NA,272.93333333333334,NA,NA,NA,NA,NA,NA,NA,NA,436.0833333333333,222
FQHC8,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,668.0166666666667,NA,NA,702.9833333333333,NA,NA,NA,982.8,NA,NA,NA,NA,NA,976.7166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,896.9333333333333,NA,NA,NA,NA,NA,NA,NA,NA,1487.7333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657.4166666666666,NA,656.1833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,731.1833333333333,97.13333333333334,NA,NA,NA,66.25,NA,NA,NA,NA,NA,1125.5666666666666,NA,NA,NA,NA,NA,852.1333333333333,303.53333333333336,NA,NA,NA,67.08333333333333,1029.1,NA,NA,NA,58.5,NA,NA,NA,1439.9166666666667,NA,725.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1160.4666666666667,NA,NA,NA,NA,NA,NA,NA,NA,325.53333333333336,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,765.0666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,709.4166666666666,NA,1390.2166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1078.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,633.3833333333333,NA,NA,NA,NA,NA,NA,43.05,NA,NA,NA,NA,NA,NA,1160.3666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1119.3,NA,NA,NA,NA,NA,NA,NA,NA,26.4,NA,NA,300.48333333333335,NA,90.63333333333334,NA,NA,594.9333333333333,NA,NA,NA,NA,NA,NA,1117.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FQHC9,NA,NA,NA,NA,NA,NA,NA,NA,0,54.56666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.43333333333334,NA,NA,NA,NA,NA,NA,257.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273.3833333333333,NA,NA,NA,282.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,276.78333333333336,NA,NA,NA,NA,NA,NA,NA,NA,316.8666666666667,NA,NA,NA,NA,NA,294.96666666666664,NA,NA,NA,NA,NA,316.45,NA,342.3333333333333,249.01666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260.85,NA,NA,NA,172.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308.8333333333333,NA,NA,194.16666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,255.13333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244.76666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.73333333333332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312.46666666666664,328.3,NA,NA,NA,NA,NA,NA,NA,296.05,NA,308.85,NA,NA,NA,NA,243.96666666666667,NA,181.38333333333333,204.6,NA,NA,NA,NA,310.81666666666666,NA,NA,135.5,NA,NA,NA,NA,NA,NA,282.96666666666664,NA,278.68333333333334,NA,300.3,NA,NA,304.3333333333333,NA,300.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293.1166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.76666666666668,NA,NA,NA,NA
FQHC10,NA,NA,NA,NA,NA,NA,NA,NA,53.516666666666666,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317.1333333333333,NA,NA,NA,NA,NA,NA,306.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273.76666666666665,NA,NA,NA,257.31666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.21666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,262.45,NA,NA,NA,NA,NA,NA,NA,NA,262.28333333333336,NA,NA,NA,NA,NA,240.38333333333333,NA,NA,NA,NA,NA,261.8833333333333,NA,NA,234.58333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.53333333333333,NA,NA,NA,181.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288.3333333333333,NA,NA,139.58333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,256.93333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.56666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288.68333333333334,273.71666666666664,NA,NA,NA,NA,NA,NA,NA,241.46666666666667,NA,288.3333333333333,NA,NA,NA,NA,222.48333333333332,NA,183.16666666666666,206.4,NA,NA,NA,NA,291.21666666666664,NA,NA,184.2,NA,NA,NA,NA,NA,NA,311.45,NA,254.88333333333333,NA,276.51666666666665,NA,NA,285.98333333333335,NA,286.3666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306.03333333333336,NA,NA,NA,NA,NA,NA,NA,NA,NA,332.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215.46666666666667,NA,NA,NA,NA
